date,description,amount,transaction_type,category,account_name,month,amount_clean,category_group,month_name,month_short,month_num,year
2018-01-29,Brunch Restaurant,17.62,debit,Restaurants,Platinum Card,2018-01,-17.62,Food & Dining,January,Jan,1,2018
2018-02-01,Grocery Store,27.79,debit,Groceries,Platinum Card,2018-02,-27.79,Food & Dining,February,Feb,2,2018
2018-02-01,Amazon,11.11,debit,Shopping,Platinum Card,2018-02,-11.11,Shopping,February,Feb,2,2018
2018-02-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-02,-1247.44,Housing,February,Feb,2,2018
2018-02-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-02,2000.0,Other,February,Feb,2,2018
2018-02-03,Japanese Restaurant,57.02,debit,Restaurants,Platinum Card,2018-02,-57.02,Food & Dining,February,Feb,2,2018
2018-02-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,2018-02,-11.76,Entertainment,February,Feb,2,2018
2018-02-07,Gas Company,65.0,debit,Utilities,Checking,2018-02,-65.0,Utilities & Bills,February,Feb,2,2018
2018-02-09,Barbershop,30.0,debit,Haircut,Platinum Card,2018-02,-30.0,Shopping,February,Feb,2,2018
2018-02-09,Spotify,10.69,debit,Music,Platinum Card,2018-02,-10.69,Entertainment,February,Feb,2,2018
2018-02-10,Bojangles,10.66,debit,Fast Food,Platinum Card,2018-02,-10.66,Food & Dining,February,Feb,2,2018
2018-02-11,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card,2018-02,-106.8,Food & Dining,February,Feb,2,2018
2018-02-12,Shell,36.47,debit,Gas & Fuel,Silver Card,2018-02,-36.47,Transport,February,Feb,2,2018
2018-02-12,Phone Company,89.52,debit,Mobile Phone,Checking,2018-02,-89.52,Utilities & Bills,February,Feb,2,2018
2018-02-14,Brewing Company,14.0,debit,Alcohol & Bars,Silver Card,2018-02,-14.0,Food & Dining,February,Feb,2,2018
2018-02-15,American Tavern,10.0,debit,Restaurants,Platinum Card,2018-02,-10.0,Food & Dining,February,Feb,2,2018
2018-02-15,Power Company,60.0,debit,Utilities,Checking,2018-02,-60.0,Utilities & Bills,February,Feb,2,2018
2018-02-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-02,2000.0,Other,February,Feb,2,2018
2018-02-16,Brunch Restaurant,8.0,debit,Restaurants,Silver Card,2018-02,-8.0,Food & Dining,February,Feb,2,2018
2018-02-16,City Water Charges,35.0,debit,Utilities,Checking,2018-02,-35.0,Utilities & Bills,February,Feb,2,2018
2018-02-20,Grocery Store,35.95,debit,Groceries,Silver Card,2018-02,-35.95,Food & Dining,February,Feb,2,2018
2018-02-20,Mexican Restaurant,23.51,debit,Restaurants,Silver Card,2018-02,-23.51,Food & Dining,February,Feb,2,2018
2018-02-21,Starbucks,2.0,debit,Coffee Shops,Platinum Card,2018-02,-2.0,Food & Dining,February,Feb,2,2018
2018-02-22,Starbucks,4.0,debit,Coffee Shops,Silver Card,2018-02,-4.0,Food & Dining,February,Feb,2,2018
2018-02-26,Internet Service Provider,74.99,debit,Internet,Checking,2018-02,-74.99,Utilities & Bills,February,Feb,2,2018
2018-02-26,American Tavern,85.52,debit,Restaurants,Silver Card,2018-02,-85.52,Food & Dining,February,Feb,2,2018
2018-02-26,Gas Station,32.21,debit,Gas & Fuel,Silver Card,2018-02,-32.21,Transport,February,Feb,2,2018
2018-03-01,Grocery Store,32.07,debit,Groceries,Silver Card,2018-03,-32.07,Food & Dining,March,Mar,3,2018
2018-03-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-03,-13.13,Shopping,March,Mar,3,2018
2018-03-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-03,-1247.44,Housing,March,Mar,3,2018
2018-03-02,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-03,2000.0,Other,March,Mar,3,2018
2018-03-03,Grocery Store,23.74,debit,Groceries,Silver Card,2018-03,-23.74,Food & Dining,March,Mar,3,2018
2018-03-04,Grocery Store,10.69,debit,Groceries,Platinum Card,2018-03,-10.69,Food & Dining,March,Mar,3,2018
2018-03-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,2018-03,-11.76,Entertainment,March,Mar,3,2018
2018-03-04,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card,2018-03,-42.24,Food & Dining,March,Mar,3,2018
2018-03-05,Starbucks,3.0,debit,Coffee Shops,Platinum Card,2018-03,-3.0,Food & Dining,March,Mar,3,2018
2018-03-07,Starbucks,3.5,debit,Coffee Shops,Platinum Card,2018-03,-3.5,Food & Dining,March,Mar,3,2018
2018-03-08,BP,34.9,debit,Gas & Fuel,Platinum Card,2018-03,-34.9,Transport,March,Mar,3,2018
2018-03-08,Gas Company,52.0,debit,Utilities,Checking,2018-03,-52.0,Utilities & Bills,March,Mar,3,2018
2018-03-09,Grocery Store,20.72,debit,Groceries,Platinum Card,2018-03,-20.72,Food & Dining,March,Mar,3,2018
2018-03-09,Grocery Store,5.09,debit,Groceries,Platinum Card,2018-03,-5.09,Food & Dining,March,Mar,3,2018
2018-03-09,Spotify,10.69,debit,Music,Platinum Card,2018-03,-10.69,Entertainment,March,Mar,3,2018
2018-03-12,Grocery Store,19.35,debit,Groceries,Platinum Card,2018-03,-19.35,Food & Dining,March,Mar,3,2018
2018-03-12,Phone Company,89.52,debit,Mobile Phone,Checking,2018-03,-89.52,Utilities & Bills,March,Mar,3,2018
2018-03-13,Amazon,45.75,debit,Shopping,Platinum Card,2018-03,-45.75,Shopping,March,Mar,3,2018
2018-03-14,Grocery Store,22.5,debit,Groceries,Platinum Card,2018-03,-22.5,Food & Dining,March,Mar,3,2018
2018-03-14,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card,2018-03,-8.49,Food & Dining,March,Mar,3,2018
2018-03-15,Starbucks,3.5,debit,Coffee Shops,Platinum Card,2018-03,-3.5,Food & Dining,March,Mar,3,2018
2018-03-15,Power Company,60.0,debit,Utilities,Checking,2018-03,-60.0,Utilities & Bills,March,Mar,3,2018
2018-03-16,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-03,2000.0,Other,March,Mar,3,2018
2018-03-17,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card,2018-03,-19.5,Food & Dining,March,Mar,3,2018
2018-03-17,Pizza Place,23.34,debit,Fast Food,Platinum Card,2018-03,-23.34,Food & Dining,March,Mar,3,2018
2018-03-19,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card,2018-03,-36.48,Food & Dining,March,Mar,3,2018
2018-03-19,City Water Charges,35.0,debit,Utilities,Checking,2018-03,-35.0,Utilities & Bills,March,Mar,3,2018
2018-03-20,Amazon,14.97,debit,Shopping,Platinum Card,2018-03,-14.97,Shopping,March,Mar,3,2018
2018-03-22,BP,30.55,debit,Gas & Fuel,Silver Card,2018-03,-30.55,Transport,March,Mar,3,2018
2018-03-23,Grocery Store,11.76,debit,Groceries,Silver Card,2018-03,-11.76,Food & Dining,March,Mar,3,2018
2018-03-26,Internet Service Provider,74.99,debit,Internet,Checking,2018-03,-74.99,Utilities & Bills,March,Mar,3,2018
2018-03-28,Grocery Store,16.06,debit,Groceries,Silver Card,2018-03,-16.06,Food & Dining,March,Mar,3,2018
2018-03-28,Pizza Place,24.98,debit,Restaurants,Silver Card,2018-03,-24.98,Food & Dining,March,Mar,3,2018
2018-03-29,Steakhouse,17.64,debit,Restaurants,Silver Card,2018-03,-17.64,Food & Dining,March,Mar,3,2018
2018-03-30,Grocery Store,9.09,debit,Groceries,Silver Card,2018-03,-9.09,Food & Dining,March,Mar,3,2018
2018-03-30,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-03,2000.0,Other,March,Mar,3,2018
2018-03-31,Belgian Restaurant,38.32,debit,Restaurants,Platinum Card,2018-03,-38.32,Food & Dining,March,Mar,3,2018
2018-03-31,Chili's,24.74,debit,Restaurants,Platinum Card,2018-03,-24.74,Food & Dining,March,Mar,3,2018
2018-03-31,Greek Restaurant,41.16,debit,Restaurants,Silver Card,2018-03,-41.16,Food & Dining,March,Mar,3,2018
2018-04-01,Grocery Store,80.79,debit,Groceries,Platinum Card,2018-04,-80.79,Food & Dining,April,Apr,4,2018
2018-04-01,Brewing Company,59.48,debit,Restaurants,Platinum Card,2018-04,-59.48,Food & Dining,April,Apr,4,2018
2018-04-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-04,-13.13,Shopping,April,Apr,4,2018
2018-04-02,Grocery Store,82.36,debit,Groceries,Platinum Card,2018-04,-82.36,Food & Dining,April,Apr,4,2018
2018-04-02,Hardware Store,13.89,debit,Home Improvement,Platinum Card,2018-04,-13.89,Housing,April,Apr,4,2018
2018-04-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-04,-1247.44,Housing,April,Apr,4,2018
2018-04-03,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card,2018-04,-6.41,Entertainment,April,Apr,4,2018
2018-04-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,2018-04,-11.76,Entertainment,April,Apr,4,2018
2018-04-06,Chevron,4.58,debit,Gas & Fuel,Platinum Card,2018-04,-4.58,Transport,April,Apr,4,2018
2018-04-06,Tiny Deli,9.76,debit,Restaurants,Platinum Card,2018-04,-9.76,Food & Dining,April,Apr,4,2018
2018-04-08,Irish Pub,22.0,debit,Restaurants,Platinum Card,2018-04,-22.0,Food & Dining,April,Apr,4,2018
2018-04-09,Blue Sky Market,6.48,debit,Groceries,Silver Card,2018-04,-6.48,Food & Dining,April,Apr,4,2018
2018-04-09,Spotify,10.69,debit,Music,Platinum Card,2018-04,-10.69,Entertainment,April,Apr,4,2018
2018-04-09,Gas Company,30.0,debit,Utilities,Checking,2018-04,-30.0,Utilities & Bills,April,Apr,4,2018
2018-04-11,Phone Company,89.52,debit,Mobile Phone,Checking,2018-04,-89.52,Utilities & Bills,April,Apr,4,2018
2018-04-12,Starbucks,7.0,debit,Coffee Shops,Platinum Card,2018-04,-7.0,Food & Dining,April,Apr,4,2018
2018-04-12,Barbershop,30.0,debit,Haircut,Platinum Card,2018-04,-30.0,Shopping,April,Apr,4,2018
2018-04-13,BP,37.98,debit,Gas & Fuel,Platinum Card,2018-04,-37.98,Transport,April,Apr,4,2018
2018-04-13,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-04,2000.0,Other,April,Apr,4,2018
2018-04-13,American Tavern,10.66,debit,Restaurants,Platinum Card,2018-04,-10.66,Food & Dining,April,Apr,4,2018
2018-04-14,Hardware Store,11.61,debit,Home Improvement,Platinum Card,2018-04,-11.61,Housing,April,Apr,4,2018
2018-04-14,American Tavern,41.0,debit,Restaurants,Platinum Card,2018-04,-41.0,Food & Dining,April,Apr,4,2018
2018-04-16,State Farm,75.0,debit,Auto Insurance,Checking,2018-04,-75.0,Transport,April,Apr,4,2018
2018-04-16,City Water Charges,35.0,debit,Utilities,Checking,2018-04,-35.0,Utilities & Bills,April,Apr,4,2018
2018-04-18,Power Company,60.0,debit,Utilities,Checking,2018-04,-60.0,Utilities & Bills,April,Apr,4,2018
2018-04-20,Thai Restaurant,24.22,debit,Restaurants,Silver Card,2018-04,-24.22,Food & Dining,April,Apr,4,2018
2018-04-21,Grocery Store,4.32,debit,Groceries,Silver Card,2018-04,-4.32,Food & Dining,April,Apr,4,2018
2018-04-21,American Tavern,35.15,debit,Restaurants,Silver Card,2018-04,-35.15,Food & Dining,April,Apr,4,2018
2018-04-22,Grocery Store,21.32,debit,Groceries,Platinum Card,2018-04,-21.32,Food & Dining,April,Apr,4,2018
2018-04-23,Hardware Store,42.7,debit,Home Improvement,Silver Card,2018-04,-42.7,Housing,April,Apr,4,2018
2018-04-24,Hardware Store,224.7,debit,Home Improvement,Platinum Card,2018-04,-224.7,Housing,April,Apr,4,2018
2018-04-24,Amazon,41.34,debit,Shopping,Platinum Card,2018-04,-41.34,Shopping,April,Apr,4,2018
2018-04-25,Hardware Store,210.79,debit,Home Improvement,Silver Card,2018-04,-210.79,Housing,April,Apr,4,2018
2018-04-25,Internet Service Provider,74.99,debit,Internet,Checking,2018-04,-74.99,Utilities & Bills,April,Apr,4,2018
2018-04-27,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-04,2000.0,Other,April,Apr,4,2018
2018-04-28,Grocery Store,22.98,debit,Groceries,Silver Card,2018-04,-22.98,Food & Dining,April,Apr,4,2018
2018-04-29,QuikTrip,39.0,debit,Gas & Fuel,Platinum Card,2018-04,-39.0,Transport,April,Apr,4,2018
2018-04-29,Grocery Store,51.05,debit,Groceries,Platinum Card,2018-04,-51.05,Food & Dining,April,Apr,4,2018
2018-04-29,Hardware Store,68.47,debit,Home Improvement,Platinum Card,2018-04,-68.47,Housing,April,Apr,4,2018
2018-04-30,Grocery Store,5.09,debit,Groceries,Platinum Card,2018-04,-5.09,Food & Dining,April,Apr,4,2018
2018-05-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-05,-13.13,Shopping,May,May,5,2018
2018-05-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-05,-1247.44,Housing,May,May,5,2018
2018-05-03,Amazon,49.72,debit,Shopping,Platinum Card,2018-05,-49.72,Shopping,May,May,5,2018
2018-05-04,Grocery Store,42.23,debit,Groceries,Platinum Card,2018-05,-42.23,Food & Dining,May,May,5,2018
2018-05-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,2018-05,-11.76,Entertainment,May,May,5,2018
2018-05-05,Bojangles,7.27,debit,Fast Food,Platinum Card,2018-05,-7.27,Food & Dining,May,May,5,2018
2018-05-05,Pizza Place,20.52,debit,Fast Food,Platinum Card,2018-05,-20.52,Food & Dining,May,May,5,2018
2018-05-06,Hardware Store,22.37,debit,Home Improvement,Platinum Card,2018-05,-22.37,Housing,May,May,5,2018
2018-05-06,Amazon,117.69,debit,Shopping,Platinum Card,2018-05,-117.69,Shopping,May,May,5,2018
2018-05-09,Spotify,10.69,debit,Music,Platinum Card,2018-05,-10.69,Entertainment,May,May,5,2018
2018-05-09,Gas Company,30.0,debit,Utilities,Checking,2018-05,-30.0,Utilities & Bills,May,May,5,2018
2018-05-10,Phone Company,111.18,debit,Mobile Phone,Checking,2018-05,-111.18,Utilities & Bills,May,May,5,2018
2018-05-11,Grocery Store,57.32,debit,Groceries,Platinum Card,2018-05,-57.32,Food & Dining,May,May,5,2018
2018-05-11,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-05,2000.0,Other,May,May,5,2018
2018-05-11,Mike's Construction Co.,8000.0,debit,Home Improvement,Checking,2018-05,-8000.0,Housing,May,May,5,2018
2018-05-12,Liquor Store,27.77,debit,Alcohol & Bars,Platinum Card,2018-05,-27.77,Food & Dining,May,May,5,2018
2018-05-12,Shell,33.3,debit,Gas & Fuel,Platinum Card,2018-05,-33.3,Transport,May,May,5,2018
2018-05-12,Fancy Restaurant,78.0,debit,Restaurants,Platinum Card,2018-05,-78.0,Food & Dining,May,May,5,2018
2018-05-14,Grocery Store,67.63,debit,Groceries,Silver Card,2018-05,-67.63,Food & Dining,May,May,5,2018
2018-05-15,Power Company,60.0,debit,Utilities,Checking,2018-05,-60.0,Utilities & Bills,May,May,5,2018
2018-05-17,Barbershop,29.0,debit,Haircut,Silver Card,2018-05,-29.0,Shopping,May,May,5,2018
2018-05-17,City Water Charges,35.0,debit,Utilities,Checking,2018-05,-35.0,Utilities & Bills,May,May,5,2018
2018-05-18,State Farm,75.0,debit,Auto Insurance,Checking,2018-05,-75.0,Transport,May,May,5,2018
2018-05-18,Amazon,6.41,debit,Shopping,Platinum Card,2018-05,-6.41,Shopping,May,May,5,2018
2018-05-19,Grocery Store,31.0,debit,Groceries,Silver Card,2018-05,-31.0,Food & Dining,May,May,5,2018
2018-05-19,Greek Restaurant,23.26,debit,Restaurants,Silver Card,2018-05,-23.26,Food & Dining,May,May,5,2018
2018-05-21,Thai Restaurant,26.04,debit,Restaurants,Silver Card,2018-05,-26.04,Food & Dining,May,May,5,2018
2018-05-21,Amazon,32.5,debit,Shopping,Platinum Card,2018-05,-32.5,Shopping,May,May,5,2018
2018-05-24,BP,39.44,debit,Gas & Fuel,Silver Card,2018-05,-39.44,Transport,May,May,5,2018
2018-05-25,Internet Service Provider,74.99,debit,Internet,Checking,2018-05,-74.99,Utilities & Bills,May,May,5,2018
2018-05-25,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-05,2000.0,Other,May,May,5,2018
2018-05-28,Movie Theater,9.62,debit,Entertainment,Silver Card,2018-05,-9.62,Entertainment,May,May,5,2018
2018-05-28,Grocery Store,91.03,debit,Groceries,Silver Card,2018-05,-91.03,Food & Dining,May,May,5,2018
2018-05-29,Movie Theater,20.0,debit,Movies & DVDs,Silver Card,2018-05,-20.0,Entertainment,May,May,5,2018
2018-05-29,Movie Theater,6.25,debit,Movies & DVDs,Silver Card,2018-05,-6.25,Entertainment,May,May,5,2018
2018-06-01,BP,38.63,debit,Gas & Fuel,Platinum Card,2018-06,-38.63,Transport,June,Jun,6,2018
2018-06-01,Grocery Store,6.11,debit,Groceries,Platinum Card,2018-06,-6.11,Food & Dining,June,Jun,6,2018
2018-06-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-06,-13.13,Shopping,June,Jun,6,2018
2018-06-03,Italian Restaurant,65.81,debit,Restaurants,Platinum Card,2018-06,-65.81,Food & Dining,June,Jun,6,2018
2018-06-04,Grocery Store,24.12,debit,Groceries,Platinum Card,2018-06,-24.12,Food & Dining,June,Jun,6,2018
2018-06-04,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-06,-1247.44,Housing,June,Jun,6,2018
2018-06-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,2018-06,-11.76,Entertainment,June,Jun,6,2018
2018-06-06,Starbucks,4.0,debit,Coffee Shops,Platinum Card,2018-06,-4.0,Food & Dining,June,Jun,6,2018
2018-06-08,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-06,2000.0,Other,June,Jun,6,2018
2018-06-08,Gas Company,30.0,debit,Utilities,Checking,2018-06,-30.0,Utilities & Bills,June,Jun,6,2018
2018-06-09,Chick-Fil-A,16.18,debit,Fast Food,Platinum Card,2018-06,-16.18,Food & Dining,June,Jun,6,2018
2018-06-09,Grocery Store,9.56,debit,Groceries,Platinum Card,2018-06,-9.56,Food & Dining,June,Jun,6,2018
2018-06-09,Spotify,10.69,debit,Music,Platinum Card,2018-06,-10.69,Entertainment,June,Jun,6,2018
2018-06-10,Grocery Store,46.01,debit,Groceries,Platinum Card,2018-06,-46.01,Food & Dining,June,Jun,6,2018
2018-06-12,Grocery Store,12.55,debit,Groceries,Platinum Card,2018-06,-12.55,Food & Dining,June,Jun,6,2018
2018-06-12,Phone Company,89.46,debit,Mobile Phone,Checking,2018-06,-89.46,Utilities & Bills,June,Jun,6,2018
2018-06-14,Grocery Store,7.02,debit,Groceries,Platinum Card,2018-06,-7.02,Food & Dining,June,Jun,6,2018
2018-06-15,Power Company,60.0,debit,Utilities,Checking,2018-06,-60.0,Utilities & Bills,June,Jun,6,2018
2018-06-16,Starbucks,3.0,debit,Coffee Shops,Platinum Card,2018-06,-3.0,Food & Dining,June,Jun,6,2018
2018-06-16,Pizza Place,22.66,debit,Fast Food,Platinum Card,2018-06,-22.66,Food & Dining,June,Jun,6,2018
2018-06-16,Grocery Store,13.9,debit,Groceries,Platinum Card,2018-06,-13.9,Food & Dining,June,Jun,6,2018
2018-06-18,City Water Charges,35.0,debit,Utilities,Checking,2018-06,-35.0,Utilities & Bills,June,Jun,6,2018
2018-06-19,Shell,38.52,debit,Gas & Fuel,Platinum Card,2018-06,-38.52,Transport,June,Jun,6,2018
2018-06-19,Grocery Store,2.69,debit,Groceries,Platinum Card,2018-06,-2.69,Food & Dining,June,Jun,6,2018
2018-06-20,State Farm,75.0,debit,Auto Insurance,Checking,2018-06,-75.0,Transport,June,Jun,6,2018
2018-06-20,Barbershop,30.0,debit,Haircut,Silver Card,2018-06,-30.0,Shopping,June,Jun,6,2018
2018-06-22,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-06,2000.0,Other,June,Jun,6,2018
2018-06-23,Brunch Restaurant,8.5,debit,Restaurants,Silver Card,2018-06,-8.5,Food & Dining,June,Jun,6,2018
2018-06-23,Amazon,74.97,debit,Shopping,Platinum Card,2018-06,-74.97,Shopping,June,Jun,6,2018
2018-06-25,Internet Service Provider,74.99,debit,Internet,Checking,2018-06,-74.99,Utilities & Bills,June,Jun,6,2018
2018-06-26,Grocery Store,9.62,debit,Groceries,Silver Card,2018-06,-9.62,Food & Dining,June,Jun,6,2018
2018-06-27,Starbucks,3.5,debit,Coffee Shops,Silver Card,2018-06,-3.5,Food & Dining,June,Jun,6,2018
2018-06-27,Pizza Place,22.66,debit,Fast Food,Platinum Card,2018-06,-22.66,Food & Dining,June,Jun,6,2018
2018-06-28,Grocery Store,7.57,debit,Groceries,Silver Card,2018-06,-7.57,Food & Dining,June,Jun,6,2018
2018-07-01,Amazon,13.13,debit,Shopping,Platinum Card,2018-07,-13.13,Shopping,July,Jul,7,2018
2018-07-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-07,-1247.44,Housing,July,Jul,7,2018
2018-07-02,Movie Theater,25.0,debit,Movies & DVDs,Silver Card,2018-07,-25.0,Entertainment,July,Jul,7,2018
2018-07-02,American Tavern,36.44,debit,Restaurants,Silver Card,2018-07,-36.44,Food & Dining,July,Jul,7,2018
2018-07-04,BP,34.48,debit,Gas & Fuel,Silver Card,2018-07,-34.48,Transport,July,Jul,7,2018
2018-07-04,Netflix,11.76,debit,Movies & DVDs,Platinum Card,2018-07,-11.76,Entertainment,July,Jul,7,2018
2018-07-05,Grocery Store,44.25,debit,Groceries,Silver Card,2018-07,-44.25,Food & Dining,July,Jul,7,2018
2018-07-05,Amazon,212.32,debit,Shopping,Platinum Card,2018-07,-212.32,Shopping,July,Jul,7,2018
2018-07-06,Amazon Video,6.41,debit,Movies & DVDs,Platinum Card,2018-07,-6.41,Entertainment,July,Jul,7,2018
2018-07-06,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-07,2000.0,Other,July,Jul,7,2018
2018-07-09,Spotify,10.69,debit,Music,Platinum Card,2018-07,-10.69,Entertainment,July,Jul,7,2018
2018-07-10,Grocery Store,5.39,debit,Groceries,Silver Card,2018-07,-5.39,Food & Dining,July,Jul,7,2018
2018-07-10,Gas Company,30.0,debit,Utilities,Checking,2018-07,-30.0,Utilities & Bills,July,Jul,7,2018
2018-07-11,Phone Company,89.46,debit,Mobile Phone,Checking,2018-07,-89.46,Utilities & Bills,July,Jul,7,2018
2018-07-14,Go Mart,33.51,debit,Gas & Fuel,Silver Card,2018-07,-33.51,Transport,July,Jul,7,2018
2018-07-15,Circle K,36.24,debit,Gas & Fuel,Platinum Card,2018-07,-36.24,Transport,July,Jul,7,2018
2018-07-17,Wendy's,15.23,debit,Fast Food,Silver Card,2018-07,-15.23,Food & Dining,July,Jul,7,2018
2018-07-17,City Water Charges,35.0,debit,Utilities,Checking,2018-07,-35.0,Utilities & Bills,July,Jul,7,2018
2018-07-17,Power Company,60.0,debit,Utilities,Checking,2018-07,-60.0,Utilities & Bills,July,Jul,7,2018
2018-07-18,Irish Restaurant,28.54,debit,Alcohol & Bars,Platinum Card,2018-07,-28.54,Food & Dining,July,Jul,7,2018
2018-07-18,State Farm,75.0,debit,Auto Insurance,Checking,2018-07,-75.0,Transport,July,Jul,7,2018
2018-07-20,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-07,2000.0,Other,July,Jul,7,2018
2018-07-21,Grocery Store,28.93,debit,Groceries,Platinum Card,2018-07,-28.93,Food & Dining,July,Jul,7,2018
2018-07-21,Barbershop,30.0,debit,Haircut,Platinum Card,2018-07,-30.0,Shopping,July,Jul,7,2018
2018-07-23,Starbucks,9.58,debit,Fast Food,Platinum Card,2018-07,-9.58,Food & Dining,July,Jul,7,2018
2018-07-24,American Tavern,26.59,debit,Restaurants,Platinum Card,2018-07,-26.59,Food & Dining,July,Jul,7,2018
2018-07-25,Internet Service Provider,74.99,debit,Internet,Checking,2018-07,-74.99,Utilities & Bills,July,Jul,7,2018
2018-07-26,Conoco,33.67,debit,Gas & Fuel,Silver Card,2018-07,-33.67,Transport,July,Jul,7,2018
2018-07-28,Grocery Store,7.61,debit,Groceries,Silver Card,2018-07,-7.61,Food & Dining,July,Jul,7,2018
2018-07-30,American Tavern,34.38,debit,Restaurants,Silver Card,2018-07,-34.38,Food & Dining,July,Jul,7,2018
